id,code,img,title,album,cnt,regDate,modDate
35454426,댄스,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,HypeBoy,"NewJeans1stEP\"NewJeans\"",314519,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
35945927,댄스,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20231213133532_500.jpg/melon/resize/120/quality/80/optimize,Ditto,"NewJeans\"OMG\"",310639,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
36080040,트로트,https://cdnimg.melon.co.kr/cm2/album/images/111/58/680/11158680_20230126215913_500.jpg/melon/resize/120/quality/80/optimize,떠날수없는당신,미스터트롯21:1데스매치베스트PART2,8382,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
36241810,트로트,https://cdnimg.melon.co.kr/cm2/album/images/111/94/812/11194812_20230303095926_500.jpg/melon/resize/120/quality/80/optimize,지나야,춘몽,9352,2026-03-04T12:28:38.000Z,2026-03-04T12:28:38.000Z
36263286,트로트,https://cdnimg.melon.co.kr/cm2/album/images/111/99/993/11199993_20230309152904_500.jpg/melon/resize/120/quality/80/optimize,깜빡이를키고오세요,미스터트롯2준결승전신곡미션,10455,2026-03-04T12:28:38.000Z,2026-03-04T13:14:06.000Z
36356993,댄스,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,IAM,"I\"veIVE",237395,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
36382580,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,헤어지자말해요,1집Alone,192657,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
36617841,댄스,https://cdnimg.melon.co.kr/cm2/album/images/112/86/070/11286070_20230713181059_500.jpg/melon/resize/120/quality/80/optimize,Seven(feat.Latto)-CleanVer.,Seven(feat.Latto)-CleanVer.,228574,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
36695861,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/113/04/600/11304600_20230811140259_500.jpg/melon/resize/120/quality/80/optimize,거리에서(Feat.ASHISLAND),거리에서,78058,2026-03-04T11:05:16.000Z,2026-03-04T17:42:23.000Z
36699489,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/113/05/759/11305759_20230814111006_500.jpg/melon/resize/120/quality/80/optimize,그대만있다면(여름날우리X너드커넥션(NerdConnection)),그대만있다면(여름날우리X너드커넥션(NerdConnection)),168947,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
36964267,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/113/64/565/11364565_20231114112249_500.jpg/melon/resize/120/quality/80/optimize,미워(Ego),wonderego,48120,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
37003911,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/113/72/896/11372896_20231127104957_500.jpg/melon/resize/120/quality/80/optimize,To.X,To.X-The5thMiniAlbum,178896,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
37023625,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/113/76/816/11376816_20231201120653_500.jpg/melon/resize/120/quality/80/optimize,비의랩소디,비의랩소디,108735,2026-03-04T11:08:29.000Z,2026-03-04T11:08:29.000Z
37069064,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/113/86/568/11386568_20231218192452_500.jpg/melon/resize/120/quality/80/optimize,슬픈초대장,슬픈초대장,78060,2026-03-04T11:08:29.000Z,2026-03-04T11:08:29.000Z
37125843,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/114/00/015/11400015_20240116162843_500.jpg/melon/resize/120/quality/80/optimize,"YesorNo(Feat.허윤진ofLESSERAFIM,Crush)",YesorNo,61113,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
37138469,댄스,https://cdnimg.melon.co.kr/cm2/album/images/114/02/655/11402655_20240129121016_500.jpg/melon/resize/120/quality/80/optimize,나는아픈건딱질색이니까,2,175020,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
37140709,댄스,https://cdnimg.melon.co.kr/cm2/album/images/113/91/902/11391902_20250922111638_500.jpg/melon/resize/120/quality/80/optimize,첫만남은계획대로되지않아,TWS1stMiniAlbum‘SparklingBlue’,171793,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
37145732,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/114/04/142/11404142_20240220141548_500.jpg/melon/resize/120/quality/80/optimize,Lovewinsall,TheWinning,220971,2026-03-04T11:08:29.000Z,2026-03-04T11:08:29.000Z
37194943,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/114/15/997/11415997_20240226162412_500.jpg/melon/resize/120/quality/80/optimize,밤양갱,밤양갱,152951,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
37228861,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/114/21/941/11421941_20240220105008_500.jpg/melon/resize/120/quality/80/optimize,천상연,천상연(웹툰'선녀외전'X이창섭(LEECHANGSUB)),143839,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
37347911,댄스,https://cdnimg.melon.co.kr/cm2/album/images/114/50/069/11450069_20240325110702_500.jpg/melon/resize/120/quality/80/optimize,Magnetic,SUPERREALME,143729,2026-03-04T17:30:26.000Z,2026-03-04T17:40:03.000Z
37373808,R&B/Soul,https://cdnimg.melon.co.kr/cm2/album/images/114/54/802/11454802_20240401174250_500.jpg/melon/resize/120/quality/80/optimize,SHEESH,BABYMONS7ER,69193,2026-03-04T17:30:44.000Z,2026-03-04T17:30:44.000Z
37375706,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/114/55/285/11455285_20240401151801_500.jpg/melon/resize/120/quality/80/optimize,청혼하지않을이유를못찾았어,청혼하지않을이유를못찾았어,70376,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
37390939,GN0100,https://cdnimg.melon.co.kr/cm2/album/images/114/59/325/11459325_20240405171054_500.jpg/melon/resize/120/quality/80/optimize,소나기,선재업고튀어OSTPart1,192902,2026-03-04T11:08:29.000Z,2026-03-04T13:01:49.000Z
37460832,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/114/74/894/11474894_20240426103349_500.jpg/melon/resize/120/quality/80/optimize,SPOT!(feat.JENNIE),SPOT!,129923,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
37524037,댄스,https://cdnimg.melon.co.kr/cm2/album/images/114/87/023/11487023_20240527154018_500.jpg/melon/resize/120/quality/80/optimize,Supernova,Armageddon-The1stAlbum,186891,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
37563682,댄스,https://cdnimg.melon.co.kr/cm2/album/images/114/75/749/11475749_20240524105642_500.jpg/melon/resize/120/quality/80/optimize,HowSweet,HowSweet,156398,2026-03-04T17:30:26.000Z,2026-03-04T17:30:26.000Z
37657039,랩/힙합,https://cdnimg.melon.co.kr/cm2/album/images/115/17/951/11517951_20240620173412_500.jpg/melon/resize/120/quality/80/optimize,Smallgirl(feat.도경수(D.O.)),16Fantasy,170006,2026-03-04T11:05:16.000Z,2026-03-04T17:52:14.000Z
